iter	Passed	Remaining
0	18	1874
1	35	1733
2	51	1679
3	68	1654
4	86	1639
5	103	1614
6	119	1588
7	134	1551
8	150	1517
9	165	1487
10	180	1462
11	194	1427
12	206	1382
13	218	1344
14	231	1310
15	257	1352
16	269	1318
17	282	1284
18	293	1252
19	306	1224
20	318	1197
21	330	1172
22	342	1147
23	354	1123
24	367	1101
25	379	1080
26	391	1059
27	404	1039
28	416	1019
29	424	990
30	433	963
31	443	941
32	456	926
33	468	909
34	480	891
35	492	875
36	504	859
37	516	842
38	528	826
39	540	810
40	552	794
41	564	779
42	576	764
43	588	749
44	600	734
45	612	719
46	624	704
47	636	690
48	649	675
49	661	661
50	673	646
51	685	632
52	697	618
53	709	604
54	721	590
55	733	576
56	744	561
57	756	547
58	766	532
59	777	518
60	789	505
61	802	491
62	814	478
63	826	464
64	838	451
65	851	438
66	862	425
67	874	411
68	886	398
69	899	385
70	911	372
71	921	358
72	933	345
73	946	332
74	958	319
75	970	306
76	982	293
77	994	280
78	1006	267
79	1018	254
80	1031	241
81	1043	228
82	1055	216
83	1067	203
84	1079	190
85	1091	177
86	1103	164
87	1115	152
88	1127	139
89	1138	126
90	1147	113
91	1157	100
92	1169	88
93	1182	75
94	1194	62
95	1205	50
96	1218	37
97	1230	25
98	1242	12
99	1254	0
